"","ID","Round","Project.Title","Organization","Size","Requested","Granted","Category","Project.Address"
"58","L-6","2009 Q2","Miraloma ES Educational Community Garden","Miraloma ES PTA","Large","$84800.00","$0.00","Urban Forestry & Rainwater Harvesting","175 Omar Way, SF CA 94127"
"59","L-8","2009 Q2","Lincoln Park Steps Project","Friends of Lincoln Park & SF Parks Trust","Large","$95823.00","$51000.00","Public Art","California Street & 32nd Avenue, SF CA 94121"
"60","L-9","2009 Q2","Vista Pointe Garden","Friends of Bernal Gardens & SF Parks Trust","Large","$70288.00","$61045.00","Urban Forestry","52 Bradford Street, SF CA 94110"
"61","L-10","2009 Q2","Community Flower Box Program","Citywide Case Management, UCSF-SFGH Psychiatry","Large","$100000.00","$0.00","Urban Forestry","982 Mission Street, SF CA 94103"
"62","L-12","2009 Q2","Clean City Youth Program","SF Clean City Coalition","Large","$60436.00","$51727.00","Graffiti & Litter Abatement","4494 Mission Street, SF CA 94112"
"63","L-14","2009 Q2","Dolores Park Playground Renovations","Friends of Dolores Park & Neighborhood Parks Council","Large","$94000.00","$0.00","Beautification & Urban Forestry","18th Street & Dolores Street, SF CA 94114"
"64","L-16","2009 Q2","Studio for Urban Projects Garden","Garden for the Environment & Haight-Ashbury Neighborhood Council","Large","$100000.00","$27720.00","Urban Forestry","7th Avenue & Lawton Street, SF CA 94122 "
"65","L-17","2009 Q2","McKinley Elementary School Project","Rebuilding Together SF","Large","$43000.00","$5000.00","Rainwater Harvesting Project","1025 14th Street, SF CA 94114"
"67","S-1","2010 Q1","Public Art Youth Program","SFABSE/City-Wide Tutorial Program","Small","$10000.00","$0.00","Public Art","1551 Newcomb St, SF, CA 94124"
"68","S-2","2010 Q1","Sargent-Orizaba Garden","Sargent-Orizaba & SF Clean City Coalition","Small","$9800.00","$9800.00","Urban Forestry","Sargent & Orizaba St, SF, CA 94132"
"69","M-1","2010 Q1","AAA Annual Workathon","Chinatown Community Development Center","Medium","$25000.00","$14025.00","Graffiti & Litter Abatement","Portsmouth Square, SF, CA 94108"
"70","M-2","2010 Q1","Summer Gardening Program","Enterprise for High School Students","Medium","$20284.00","$20123.00","Urban Forestry","Holly Park & St. Mary's Park"
"71","M-3","2010 Q1","9th Ave Farmers' Market","Inner Sunset Neighbors & Fresh Approach","Medium","$20000.00","$16000.00","Public Art","9th Ave & Irving St, SF, CA 94122"
"72","M-4","2010 Q1","Edible Rooftop Garden Project","Glide Community Housing ","Medium","$20938.00","$20061.00","Urban Forestry","333 Taylor St, SF, CA 94102"
"73","M-5","2010 Q1","The Secret Garden ","Good Samaritan Family Resource Center","Medium","$20000.00","$13420.00","Urban Forestry","23rd St & Harrison St, SF, CA 94110"
"74","M-6","2010 Q1","Divisadero St Corridor Clean-Up Project","Larkin Street Youth Services","Medium","$22508.00","$0.00","Graffiti & Litter Abatement","Divisadero St, btwn Eddy & Haight St, SF, CA 94117"
"75","M-7","2010 Q1","Polk St Corridor Clean-Up Project","Larkin Street Youth Services","Medium","$25000.00","$0.00","Graffiti & Litter Abatement","Polk St, btwn Ellis & California St, SF, CA 94109 "
"76","M-8","2010 Q1","Native Plant Garden Project","Miraloma ES PTA","Medium","$23000.00","$23000.00","Urban Forestry","175 Omar Way, SF, CA 94127"
"77","M-9","2010 Q1","Guerrero Parks Sidewalk Gardens","Guerrero Park Neighbors & Neighborhood Parks Council","Medium","$21303.00","$21303.00","Urban Forestry","28th St @ Guerrero St & San Jose Ave, SF, CA 94110"
"78","M-10","2010 Q1","Permeable Sidewalk Garden Project","Noe Valley Association CBD","Medium","$13304.00","$13304.00","Urban Forestry","24th St @ Sanchez St, SF, CA 94114"
"79","M-11","2010 Q1","Folsom St Sidewalk Garden","Public Archiecture","Medium","$25000.00","$12375.00","Urban Forestry","1122 Folsom St, SF, CA 94103"
"80","M-12","2010 Q1","Permeable Sidewalk Garden Project","Korean American Community Center/SF Clean City Coalition","Medium","$23150.00","$23150.00","Urban Forestry","745 Buchanan St, SF, CA 94102"
"81","M-13","2010 Q1","North Beach Street Maintenance","North Beach Partnership & SF Clean City Coalition","Medium","$22000.00","$0.00","Street Maintenance","720 Columbus St, SF, CA 94133"
"82","M-14","2010 Q1","Revere St Beautification","Revere Neighbors & Sf Clean City Coalition","Medium","$24120.00","$24120.00","Public Art & Urban Forestry","Revere & Selby St, SF, CA 94124"
"83","M-15","2010 Q1","Permeable Sidewalk Garden Project","Mission-Verde Neighbors & SF Parks Trust","Medium","$24999.00","$16695.00","Urban Forestry","22nd St, Harriosn St, Bryant St & Florida St, SF, CA 94110"
"84","M-16","2010 Q1","Hawk Hill Garden Project","Kids In Parks & SF Parks Trust","Medium","$24914.00","$0.00","Urban Forestry","Herbert Hoover MS, 2290 - 14th Ave, SF, CA 94116"
"85","M-17","2010 Q1","Mission Greenbelt Project","Mission Greenbelt Group & SF Parks Trust","Medium","$19919.00","$0.00","Public Art & Urban Forestry","4150A - 25th St, SF, CA 94114"
"86","M-18","2010 Q1","Cragmont Ave Greening","Stewards of Cragmont Ave & SF Parks Trust","Medium","$18930.00","$0.00","Urban Forestry","Cragmont Ave & Quintara St, SF, CA 94116"
"87","M-19","2010 Q1","Recycling & Composting Program","Self-Help for the Elderly","Medium","$18450.00","$0.00","Recycling & Composting Program","407 Sansome St, SF, CA 94111"
"88","M-20","2010 Q1","Community Garden Project","WELCOME","Medium","$25000.00","$0.00","Urban Forestry","1751 Sacramento St, SF, CA 94109"
"89","M-21","2010 Q1","Permeable Sidewalk Garden Project","Park St Neighbors & SF Clean City Coalition","Medium","$23959.00","$19963.00","Urban Forestry","Junipero Serra ES - Holly Park Circle & Park St, SF, CA 94131"
"90","L-1","2010 Q1","Garden & Art Project","African American Art & Culture Complex","Large","$100000.00","$25000.00","Public Art & Urban Forestry","762 Fulton st, SF, CA 94102"
"91","L-2","2010 Q1","Quesada Gardens Project","Quesada Gardens Initiative & Bayview Hunters Point Foundation","Large","$35055.00","$32505.00","Beautification & Urban Forestry","1747 Quesada Ave, SF, CA 94124"
"92","L-3","2010 Q1","Youth Litter Abatement Program","Bayview Hunters Point Foundation","Large","$30650.00","$30650.00","Graffiti & Litter Abatement","5015 Third St, SF, CA 94124"
"93","L-4","2010 Q1","Mint Plaza","Friends of Mint Plaza & Central Market CBD","Large","","$0.00","Beautification","5th & Mint St, SF, CA 94103"
"94","L-5","2010 Q1","Chinatown Clean-Up Program","Charity Cultural Services Center","Large","$100000.00","$0.00","Recycling, Graffiti & Litter Abatement","827 Stockton St, SF, CA 94108"
"95","L-6","2010 Q1","Edible Community Garden","Alice Griffith COO Resident Group & Community Initiative Fund","Large","$54980.00","$43153.00","Urban Forestry","2500 Griffith Ave, SF, CA 94124"
"96","L-7","2010 Q1","Daniel Webster Mural Project","Daniel Webster ES PTA","Large","$38900.00","$23150.00","Public Art","465 Missouri St, SF, CA 94107"
"97","L-8","2010 Q1","Adopt-A-Spot Program ","Ella Hill Hutch Community Center","Large","$93780.00","$25000.00","Graffiti & Litter Abatement","1050 McAllister St, SF, CA 94115"
"98","L-9","2010 Q1","Horseshoe Pits","Horseshoe Pitching Club & The Guardsmen","Large","$100000.00","$30000.00","Beautification & Urban Forestry","East Conservatory Dr, GGP, SF, CA 94117"
"99","L-10","2010 Q1","Systems Mural Project","Intersection for the Arts","Large","$40000.00","$0.00","Public Art","1067 Market St, SF, CA 94103"
"100","L-11","2010 Q1","James Lick Garden Project","James Lick MS PTA","Large","$62100.00","$0.00","Urban Forestry","1220 Noe St, SF, CA 94114"
"101","L-12","2010 Q1","Ida B. Wells HS Mural Project","Kid Serve Youth Murals","Large","$25001.00","$25000.00","Public Art","1099 Hayes St, SF, CA 94117"
"102","L-13","2010 Q1","Chinatown Public Places & Spaces Project ","MainTrain","Large","$64521.00","$0.00","Street Maintenance","777 Stockton St, SF, CA 94108"
"103","L-14","2010 Q1","Duboce Park Youth Play Area","Friends of Duboce Park Plauground & Neighborhood Parks Council","Large","$55000.00","$0.00","Beautification & Urban Forestry","Duboce Park Playground, SF, CA 94114"
"104","L-15","2010 Q1","Burrows & Gambier Playground","Help McLaren Park & Neighborhood Parks Council","Large","$100000.00","$65000.00","Beautification & Urban Forestry","Burrows & Gambier St, SF, CA 94134"
"105","L-16","2010 Q1","Mission Bay Gathering Place","Mission Bay Families & Neighborhood Parks Council","Large","$96000.00","$0.00","Urban Forestry","301 Channel St, SF, CA 94158"
"106","L-17","2010 Q1","MUNA Garden","MUNA & Neighborhood Parks Council","Large","$100000.00","$0.00","Beautification & Urban Forestry","Utah & 18th St, SF, CA 94110"
"107","L-18","2010 Q1","WonderLand Gallery Art Project","North of Market/Tenderloin CBD","Large","$100000.00","$0.00","Public Art","134 Golden Gate Ave, SF, CA 94102"
"108","L-19","2010 Q1","Edible Community Garden","Project Homeless Connect","Large","$47938.00","$37878.00","Urban Forestry","Octavia & Lily St, btwn Page & Oak, SF, CA 94102"
"109","L-20","2010 Q1","Green City Gardens","SF Clean City Coalition","Large","$47324.00","$47324.00","Urban Forestry","Bayshore Blvd, btwn Salinas & Keys, SF CA 94124"
"110","L-21","2010 Q1","SF Juneteenth","SF Juneteenth Committee","Large","$62366.00","$0.00","Graffiti & Litter Abatement","1347 Divisadero St, SF, CA 94115"
"111","L-22","2010 Q1","Community Mural Project","SF Mime Troupe","Large","$27620.00","$0.00","Public Art","855 Treat Ave, SF, CA 94110"
"112","L-23","2010 Q1","Hayes Valley Edible Garden","Hayes Valley Farm & SF Parks Trust","Large","$52950.00","$0.00","Urban Forestry","Oak & Fell St, btwn Laguna & Octavia St, SF, CA 94102"
"113","L-24","2010 Q1","Lincoln Park Stairs Project","Friends of Lincoln Park & SF Parks Trust","Large","$100000.00","$0.00","Public Art","California St & 32 Ave, SF, CA 94121"
"114","L-25","2010 Q1","Storrie-Ord St Project","Storrie-Ord St Neighborhood Group & SF Parks Trust","Large","$52083.00","$0.00","Urban Forestry","Market, Storrie, 18th & Ord St, SF, CA 94114"
"115","L-26","2010 Q1","Visitacion Valley Greenway Project","Visitacion Valley Greenway & SF Parks Trust","Large","$90827.00","$0.00","Urban Forestry","Leland & Peabody Ave, SF, CA 94134"
"116","L-27","2010 Q1","Community Roftop Garden Project","Shih-Yu Central YMCA","Large","$90592.00","$0.00","Urban Forestry","220 Golden Gate Ave, SF, CA 94102"
"117","L-28","2010 Q1","SOMArts Gathering Place","SOMArts Cultural Center","Large","$100000.00","$0.00","Beautification & Urban Forestry","934 Brannan St, SF, CA 94103"
"118","P-1","2010 Q1","Drew School LivingWall & Garden Project","Drew School","Large","$100000.00","$25000.00","Urban Watershed Stewardship Project","2901 California St, SF, CA 94115"
"119","P-2","2010 Q1","Indigenous Permaculture","Ecology Center","Large","$30500.00","$0.00","Urban Watershed Stewardship Project","3288 - 21st St, SF, CA 94110"
"120","P-3","2010 Q1","Cesar Chavez Sidewalk Garden Project","Friends of the Urban Forest","Medium","$24640.00","$24640.00","Urban Watershed Stewardship Project","Cesar Chavez St, Sf, CA 94110"
"121","P-4","2010 Q1","Grace Marchant Garden","Northeast San Francisco Conservancy","Small","$3450.00","$3450.00","Urban Watershed Stewardship Project","22 Alta St, SF, CA 94133"
"122","P-5","2010 Q1","Tap The Sky Project","SF Green Schoolyard Alliance & SF School Alliance","Large","$38750.00","$38750.00","Urban Watershed Stewardship Project","2051-34th Ave, SF, CA 94116, 400 Sargent St, SF, CA 94132, 250 Foerster St, SF, CA 94112, 755 Morse St, SF, CA 94112"
"123","P-6","2010 Q1","Wholly H2O","Trust for Conservation Innovation","Medium","$25000.00","$0.00","Urban Watershed Stewardship Project","1121 Mariposa St, SF, CA 94107"
